taget,date,day,times,open,high,low,close,volume,MA.MA1,MA.MA2,MA.MA3,MA.MA4,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2,MACD.DIF,MACD.DEA,MACD.MACD
202306010931 , 2023/06/01 09:31,2023/6/1,9:31,2487.76,2494.93,2487.76,2491.63,143942,2494.23,2494.65,2495.95,2495.14,143942,114783,73658,-0.47,0.02,-0.98
202306010932 , 2023/06/01 09:32,2023/6/1,9:32,2491.79,2493.25,2490.96,2492.88,62464,2493.72,2494.27,2495.74,2495.02,62464,119689,76951,-0.58,-0.1,-0.96
202306010933 , 2023/06/01 09:33,2023/6/1,9:33,2492.78,2497.77,2492.78,2495.94,59204,2493.84,2494.35,2495.69,2494.95,59204,131078,80176,-0.41,-0.16,-0.5
202306010934 , 2023/06/01 09:34,2023/6/1,9:34,2496.29,2499.27,2496.29,2499.27,53532,2494.61,2494.81,2495.81,2494.92,53532,141784,82380,-0.01,-0.13,0.24
202306010935 , 2023/06/01 09:35,2023/6/1,9:35,2499.35,2499.87,2496.87,2499.52,50619,2495.85,2495.32,2495.94,2494.95,50619,73952,83866,0.32,-0.04,0.72
202306010936 , 2023/06/01 09:36,2023/6/1,9:36,2500.37,2500.67,2497.67,2497.67,43305,2497.06,2495.64,2495.86,2494.98,43305,53825,84304,0.43,0.05,0.75
202306010937 , 2023/06/01 09:37,2023/6/1,9:37,2497.79,2499.83,2497.77,2499.59,43862,2498.4,2496.06,2495.92,2495.03,43862,50104,84897,0.67,0.18,0.98
202306010938 , 2023/06/01 09:38,2023/6/1,9:38,2499.49,2499.54,2495.3,2495.3,46794,2498.27,2496.05,2495.83,2495.02,46794,47622,89350,0.5,0.24,0.52
202306010939 , 2023/06/01 09:39,2023/6/1,9:39,2495.29,2497.46,2494.71,2497.46,42491,2497.91,2496.26,2495.88,2495.05,42491,45414,93599,0.54,0.3,0.47
202306010940 , 2023/06/01 09:40,2023/6/1,9:40,2497.1,2497.1,2493.59,2493.67,37634,2496.74,2496.29,2495.74,2495.05,37634,42817,58385,0.26,0.29,-0.07
202306010941 , 2023/06/01 09:41,2023/6/1,9:41,2493.91,2496.53,2493.91,2494.62,41764,2496.13,2496.59,2495.62,2495.07,41764,42509,48167,0.11,0.25,-0.29
202306010942 , 2023/06/01 09:42,2023/6/1,9:42,2494.87,2497.36,2493.7,2494.83,46238,2495.18,2496.79,2495.53,2495.1,46238,42984,46544,0.01,0.21,-0.39
