taget,date,day,times,open,high,low,close,volume
202306010931 , 2023/06/01 09:31,2023/6/1,9:31,2487.76,2494.93,2487.76,2491.63,143942
202306010932 , 2023/06/01 09:32,2023/6/1,9:32,2491.79,2493.25,2490.96,2492.88,62464
202306010933 , 2023/06/01 09:33,2023/6/1,9:33,2492.78,2497.77,2492.78,2495.94,59204
202306010934 , 2023/06/01 09:34,2023/6/1,9:34,2496.29,2499.27,2496.29,2499.27,53532
202306010935 , 2023/06/01 09:35,2023/6/1,9:35,2499.35,2499.87,2496.87,2499.52,50619
202306010936 , 2023/06/01 09:36,2023/6/1,9:36,2500.37,2500.67,2497.67,2497.67,43305
202306010937 , 2023/06/01 09:37,2023/6/1,9:37,2497.79,2499.83,2497.77,2499.59,43862
202306010938 , 2023/06/01 09:38,2023/6/1,9:38,2499.49,2499.54,2495.3,2495.3,46794
202306010939 , 2023/06/01 09:39,2023/6/1,9:39,2495.29,2497.46,2494.71,2497.46,42491
202306010940 , 2023/06/01 09:40,2023/6/1,9:40,2497.1,2497.1,2493.59,2493.67,37634
202306010941 , 2023/06/01 09:41,2023/6/1,9:41,2493.91,2496.53,2493.91,2494.62,41764
202306010942 , 2023/06/01 09:42,2023/6/1,9:42,2494.87,2497.36,2493.7,2494.83,46238
202306010943 , 2023/06/01 09:43,2023/6/1,9:43,2495.23,2496.65,2494.39,2496.65,33619
202306010944 , 2023/06/01 09:44,2023/6/1,9:44,2496.65,2496.65,2493.77,2495.52,52147
202306010945 , 2023/06/01 09:45,2023/6/1,9:45,2495.32,2500.09,2494.52,2499.71,53644
202306010946 , 2023/06/01 09:46,2023/6/1,9:46,2499.81,2500.47,2499.23,2499.23,34117
202306010947 , 2023/06/01 09:47,2023/6/1,9:47,2499.02,2503,2498.6,2502.75,45538
202306010948 , 2023/06/01 09:48,2023/6/1,9:48,2503.21,2505.53,2503.21,2505.2,43099
202306010949 , 2023/06/01 09:49,2023/6/1,9:49,2505.76,2508.54,2504.82,2508.31,51632
202306010950 , 2023/06/01 09:50,2023/6/1,9:50,2508.61,2508.81,2507.56,2508.32,51844
202306010951 , 2023/06/01 09:51,2023/6/1,9:51,2507.79,2508.27,2505.24,2508.06,63694
202306010952 , 2023/06/01 09:52,2023/6/1,9:52,2509.12,2509.85,2507.21,2508.64,47331
202306010953 , 2023/06/01 09:53,2023/6/1,9:53,2508.85,2513.24,2508.85,2512.52,48494
202306010954 , 2023/06/01 09:54,2023/6/1,9:54,2513.05,2515.53,2513.05,2514.96,47030
202306010955 , 2023/06/01 09:55,2023/6/1,9:55,2515.25,2517.29,2515.25,2517.29,52683
202306010956 , 2023/06/01 09:56,2023/6/1,9:56,2517.5,2522.86,2517.1,2522.86,67077
202306010957 , 2023/06/01 09:57,2023/6/1,9:57,2522.56,2522.56,2520.09,2521.64,48756
202306010958 , 2023/06/01 09:58,2023/6/1,9:58,2521.59,2521.74,2517.78,2517.78,37673
202306010959 , 2023/06/01 09:59,2023/6/1,9:59,2518.13,2521.27,2518.13,2519.1,47731
202306011000 , 2023/06/01 10:00,2023/6/1,10:00,2519.06,2519.06,2516.35,2516.65,37906
202306011001 , 2023/06/01 10:01,2023/6/1,10:01,2516.28,2516.43,2515.15,2516.35,44986
202306011002 , 2023/06/01 10:02,2023/6/1,10:02,2515.8,2518.64,2515.34,2518.05,36937
202306011003 , 2023/06/01 10:03,2023/6/1,10:03,2517.53,2517.53,2514.53,2514.92,28270
202306011004 , 2023/06/01 10:04,2023/6/1,10:04,2514.45,2515.82,2513.52,2515.82,36404
202306011005 , 2023/06/01 10:05,2023/6/1,10:05,2515.82,2515.85,2515.32,2515.48,26783
202306011006 , 2023/06/01 10:06,2023/6/1,10:06,2515.54,2517.49,2514.98,2516.67,30397
202306011007 , 2023/06/01 10:07,2023/6/1,10:07,2516.24,2516.49,2513.41,2513.41,24183
202306011008 , 2023/06/01 10:08,2023/6/1,10:08,2513.49,2513.49,2510.44,2510.44,25605
202306011009 , 2023/06/01 10:09,2023/6/1,10:09,2510.21,2510.4,2508.47,2509.49,26040
202306011010 , 2023/06/01 10:10,2023/6/1,10:10,2508.95,2510.14,2508.79,2509.73,21088
202306011011 , 2023/06/01 10:11,2023/6/1,10:11,2509.56,2509.62,2508.63,2508.67,26240
202306011012 , 2023/06/01 10:12,2023/6/1,10:12,2509,2509.13,2506.92,2506.98,26337
202306011013 , 2023/06/01 10:13,2023/6/1,10:13,2506.63,2506.91,2505.85,2506.48,25589
202306011014 , 2023/06/01 10:14,2023/6/1,10:14,2506.83,2508.18,2506.47,2508.18,21779
202306011015 , 2023/06/01 10:15,2023/6/1,10:15,2508.1,2508.1,2506.43,2506.99,23711
202306011016 , 2023/06/01 10:16,2023/6/1,10:16,2506.6,2506.6,2505.56,2505.8,27584
202306011017 , 2023/06/01 10:17,2023/6/1,10:17,2505.35,2506.8,2504.38,2506.79,29336
202306011018 , 2023/06/01 10:18,2023/6/1,10:18,2506.79,2507.46,2506.57,2507.11,23564
202306011019 , 2023/06/01 10:19,2023/6/1,10:19,2506.98,2507.36,2506.59,2507.09,22983
202306011020 , 2023/06/01 10:20,2023/6/1,10:20,2507.09,2507.3,2506.22,2506.22,21118
202306011021 , 2023/06/01 10:21,2023/6/1,10:21,2506.04,2506.04,2504.2,2504.96,30331
202306011022 , 2023/06/01 10:22,2023/6/1,10:22,2505.03,2505.11,2504.25,2504.42,26960
202306011023 , 2023/06/01 10:23,2023/6/1,10:23,2504.27,2504.44,2503.27,2503.92,26465
202306011024 , 2023/06/01 10:24,2023/6/1,10:24,2504.21,2507.95,2504.21,2507.95,33678
202306011025 , 2023/06/01 10:25,2023/6/1,10:25,2507.43,2507.87,2506.82,2506.82,19235
202306011026 , 2023/06/01 10:26,2023/6/1,10:26,2506.82,2507.03,2505.79,2505.79,20560
202306011027 , 2023/06/01 10:27,2023/6/1,10:27,2505.76,2505.89,2505.04,2505.39,16113
202306011028 , 2023/06/01 10:28,2023/6/1,10:28,2505.24,2506.36,2504.91,2505.69,17469
202306011029 , 2023/06/01 10:29,2023/6/1,10:29,2505.74,2506.23,2505.24,2505.42,17219
202306011030 , 2023/06/01 10:30,2023/6/1,10:30,2505.52,2508.4,2505.31,2508.4,27150
202306011031 , 2023/06/01 10:31,2023/6/1,10:31,2507.91,2509.93,2507.91,2509.14,34416
202306011032 , 2023/06/01 10:32,2023/6/1,10:32,2509.14,2509.14,2507.93,2508.17,23806
202306011033 , 2023/06/01 10:33,2023/6/1,10:33,2507.89,2507.89,2505.97,2506.51,24246
202306011034 , 2023/06/01 10:34,2023/6/1,10:34,2506.4,2509.44,2506.4,2509.44,34011
202306011035 , 2023/06/01 10:35,2023/6/1,10:35,2509.37,2510.46,2509.37,2509.75,27293
202306011036 , 2023/06/01 10:36,2023/6/1,10:36,2509.83,2511.77,2509.82,2511.15,30838
202306011037 , 2023/06/01 10:37,2023/6/1,10:37,2511.04,2512.16,2511.04,2511.96,25544
202306011038 , 2023/06/01 10:38,2023/6/1,10:38,2512.14,2516.07,2512.14,2515.96,39224
202306011039 , 2023/06/01 10:39,2023/6/1,10:39,2516.14,2516.34,2513.88,2513.88,32208
202306011040 , 2023/06/01 10:40,2023/6/1,10:40,2514.18,2514.6,2513.78,2514.26,22546
202306011041 , 2023/06/01 10:41,2023/6/1,10:41,2514.13,2514.61,2512.76,2512.82,23275
202306011042 , 2023/06/01 10:42,2023/6/1,10:42,2512.95,2513.11,2511.38,2511.56,20882
202306011043 , 2023/06/01 10:43,2023/6/1,10:43,2511.5,2512.32,2510.97,2512.32,16289
202306011044 , 2023/06/01 10:44,2023/6/1,10:44,2512.13,2515.17,2512.02,2515,29692
202306011045 , 2023/06/01 10:45,2023/6/1,10:45,2515.61,2518.91,2515.3,2518.91,34885
202306011046 , 2023/06/01 10:46,2023/6/1,10:46,2518.8,2519.09,2516.97,2516.97,25231
202306011047 , 2023/06/01 10:47,2023/6/1,10:47,2517.33,2518.35,2516.81,2518.04,27334
202306011048 , 2023/06/01 10:48,2023/6/1,10:48,2518.79,2521.5,2518.79,2521.5,35845
202306011049 , 2023/06/01 10:49,2023/6/1,10:49,2520.86,2520.86,2518.8,2519.39,22332
202306011050 , 2023/06/01 10:50,2023/6/1,10:50,2519.42,2519.53,2516.5,2516.61,23181
